.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,Y,.,.,.,.,.,.,.,#,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,.,.,Y,.,.,#,.,.,.,.,#,.,.,#,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,#,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,Y,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,.,.,Y,#,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,Y,.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,.,.,.,.,Y,.,.,.,#,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,Y,.,#,.,.,.,.,.,.,#,.,.,.,#,.,.,.,.,.,Y,.,.,.,#,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,.,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,#,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,#,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,#,.,Y,.,.,.,.,.,.,.,.,.,#,.,.,.,Y,.,Y,.,.,.,.,Y,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,#,.,.,.,Y,.,Y,.,.,.,.,.,.,.,#,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,#,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,Y,.,Y,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,#,.,.,Y,.,.,.,.,Y,.,.,#,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,.,.,Y,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,Y,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,.,#,.,.,.,.,.,.,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,#,Y,.,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,#,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,.,Y,.,.,.,.,.,.,.,.,.,.,.
#,.,.,.,.,#,.,.,.,.,#,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,#,Y,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,.,.,Y,Y,.,.,.,#,.,.,.,.,.,.,.,Y,.,.,.,.,Y,.,Y,.,.,.,.,.,.,#,.,.,#,.,.,.,.,.,.,.,#,.,Y,.,#,.,.,.,.,.,.,.,.,.
.,.,.,.,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,#,.,.,.,.,.,.,.,.,Y,#,.,.,.,Y,.,.,.,.,#,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,.,.,Y,Y,.,.,.,.,.,.,.,.,#,.,.,Y,.,.,.,.,Y,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,#,.,.,.,.,.,#,.,Y,.,.,.,.,Y,.,.,.,#,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,#,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.
.,.,.,#,.,Y,.,.,.,.,.,#,.,.,.,.,.,Y,.,.,.,.,.,#,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,#,Y,Y,.,.,.,#,.,.,.,#,.,#,.,Y,#,.,.,.,Y,.,Y,.,.,.,.,.,.,.,.,Y,#,.,#,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.
.,.,.,#,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,#,.,.,#,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,Y,.,Y,#,.,.,.,Y,.,.,.,.,Y,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,#,.,.,.,Y,.,Y,.,.,Y,.,Y,Y,.,.,.,.,.,.,.,.,.,Y,X,Y,X,X,X,X,Y,X,Y,X,X,X,X,X,X,X,X,Y,X,X,X,X,X,X,X,X,#,.,Y,.,.,.,.,.,.,.,.,.,.,.
.,#,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,#,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,Y,.,Y,.,.,.,.,Y,.,.,.,.,Y,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,#,.,#,.,Y,.,Y,.,.,Y,.,Y,Y,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,.,.,Y,#,Y,.,.,.,.,.,.,.,.,Y,.,.,.,#,.,.,.,X,.,.,Y,.,.,.,.,.,.,.,.,.,#,.
.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,#,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,#,.,Y,.,Y,.,.,.,.,Y,.,.,.,.,Y,#,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,#,.,.,.,.,.,X,.,.,Y,.,.,.,.,.,.,.,#,.,.,.
.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,#,Y,.,Y,.,.,.,.,.,.,.,#,Y,Y,.,.,.,.,.,.,X,.,.,Y,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,Y,.,.,.,.,.,.,#,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,.,.,.,.,Y,.,Y,.,Y,.,.,.,.,Y,.,.,.,.,Y,#,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,Y,.,.,Y,.,Y,Y,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,Y,.,Y,.,Y,.,.,.,.,.,#,.,.,Y,Y,.,.,.,.,.,.,X,.,.,Y,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,Y,.,#,.,.,.,.,.,#,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,#,.,.,.,Y,.,Y,.,Y,.,.,.,.,Y,.,.,.,.,Y,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,Y,.,.,Y,.,Y,Y,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,Y,.,Y,.,Y,.,.,#,.,.,.,.,.,Y,Y,.,.,.,.,.,.,X,.,.,Y,.,#,.,.,.,.,.,#,.,.,.
.,.,.,.,.,Y,.,.,.,.,.,#,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,#,.,#,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,.,.,.,.,.,.,X,.,.,Y,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,Y,.,.,.,.,#,.,.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,.,Y,.,Y,.,Y,#,.,.,.,Y,.,.,.,.,Y,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,Y,.,.,Y,.,Y,Y,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,Y,.,Y,.,Y,.,.,.,.,.,.,.,.,#,Y,.,.,.,.,.,.,X,.,.,Y,.,.,.,#,.,.,.,.,.,.,.
.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,#,.,Y,.,.,.,.,.,.,.,#,.,.,.,.,Y,.,Y,.,.,.,Y,#,Y,.,Y,.,.,.,.,Y,.,.,.,.,Y,.,.,Y,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y,.,Y,.,Y,.,.,Y,.,Y,Y,.,.,.,.,.,.,.,.,.,Y,.,Y,.,.,Y,.,Y,.,Y,.,.,.,.,.,.,.,.,.,Y,.,.,.,#,.,.,X,.,.,Y,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,Y,.,.,.,.,.,.,.,.,.,#,#,Y,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,#,#,.,.,.,#,.,.,Y,.,Y,.,.,Y,.,Y,.,Y,.,.,.,.,.,.,.,.,#,Y,.,.,.,.,.,.,X,.,.,Y,.,.,.,.,.,.,.,.,.,#,.
